1週間に何回、運動をしていますか？,1日に摂取する水の量はどのくらいですか？,最も好きな運動は何ですか？,日常生活で心がけている健康習慣はどんなものですか？,睡眠時間は平均して何時間ですか？
4,2.6284705906113324,バスケ,毎日の運動を欠かさない。,13.302333650197559
3,1.690676079337664,テニス,バランスの取れた食事を心がける。,21.55892816706269
4,2.551806306822911,テニス,毎日の水分摂取を確保する。,9.33360706378729
4,1.6325034357130446,サッカー,適切な睡眠時間を確保する。,7.529754094549669
3,2.208212158254344,テニス,ストレスを管理するためにリラックスする時間を持つ。,4.869904678479139
3,2.6692639066069543,テニス,タバコを避ける。,7.643029159685534
0,0.8843366210785232,バスケ,適度なアルコール摂取に留める。,16.008450434313943
5,2.5801321650619853,テニス,規則正しい生活リズムを保つ。,4.526119935594522
1,0.10597540203892797,テニス,フルーツと野菜をバランスよく摂取する。,17.29770201841136
5,2.5334755986688213,テニス,食事をゆっくりと噛むことを心がける。,10.927437419869515
0,1.7007845257282121,バスケ,野菜を主食とする食事を増やす。,16.935299949699875
4,0.7026152574572705,サッカー,糖分を控える。,19.34862375527573
1,2.7473361290496054,テニス,食事の栄養バランスに気を配る。,19.731674342239756
1,2.4269731166863995,サッカー,食事の量を適切にコントロールする。,13.043675919488635
1,2.003276694348785,サッカー,ジャンクフードを控える。,7.778825481632984
4,2.565358445294053,バスケ,カフェイン摂取を制限する。,18.417730449664262
0,1.4806867616145678,サッカー,ウォーキングやストレッチングを日常的に行う。,2.050243344524942
3,2.7226539482066703,テニス,自宅でのトレーニングを取り入れる。,3.9241105476396285
2,2.023370579534221,バスケ,健康的なレシピを探求する。,12.932457664533805
6,0.36234103285438934,テニス,マインドフルネスや瞑想を実践する。,8.540322076215556
2,2.433018692861928,サッカー,ポジティブな人との交流を増やす。,21.83742254928582
5,0.7703461097618348,バスケ,タンパク質をバランスよく摂取する。,20.09271810573859
3,2.819413490137989,テニス,心臓に良い食品を摂取する。,10.397057562629008
6,1.715974604359448,テニス,脂肪分を適度に制限する。,14.810696722481092
0,1.7519167205254673,テニス,魚を食べる習慣をつける。,15.862309799036497
4,2.977303388511372,テニス,遺伝的なリスクを考慮して健康を管理する。,10.369851558078434
6,2.562587949883392,サッカー,定期的な健康チェックアップを受ける。,4.192441453513544
2,1.192425277379764,テニス,ランチを持参して外食を控える。,5.149681749914817
4,0.8953678466928372,バスケ,グルテンや乳製品などの食物アレルギーに注意する。,12.609337641254925
3,0.5880381973193181,バスケ,食物の摂取量を記録することで食事管理を行う。,13.373234035992155
1,2.918346766826131,サッカー,食品のラベルを確認して添加物や糖分を避ける。,16.284856529477896
4,1.1065944171595312,テニス,バランスの良い朝食を摂る。,0.6824679957949433
1,1.6364451542309824,バスケ,食事の時にテレビやスマートフォンを見ないようにする。,14.588020403061446
0,0.45998990705171017,サッカー,毎日のビタミンやサプリメントを摂る。,13.599894444549669
1,0.10863463355271175,サッカー,背中や首の健康を考慮して正しい姿勢を保つ。,4.065740242991694
5,0.4566151961257364,バスケ,歩くことを積極的に促進する。,8.533888588729418
2,2.319719842005987,テニス,エレベーターよりも階段を利用する。,4.881775673965482
0,1.498566379148798,テニス,自転車での通勤を取り入れる。,21.62257149725154
0,0.06592107315016793,サッカー,ランチタイムにストレッチを行う。,16.814033032859207
6,0.4841093892365419,バスケ,インターバルトレーニングを取り入れる。,10.966472744826572
3,0.41465160882006347,バスケ,興味深いレシピを試してみる。,9.30173070311279
0,2.5740205779761376,サッカー,自家製のお菓子やスナックを作る。,1.5708506891346792
